state,x,y
Andhra Pradesh,-86.0,-208.0
Arunachal Pradesh,293.0,132.0
Assam,250.0,81.0
Bihar,80.0,66.0
Chhattisgarh,-17.0,-44.0
Goa,-196.0,-201.0
Gujarat,-250.0,-4.0
Haryana,-141.0, 154.0
Himachal Pradesh,-122.0,228.0
Jharkhand,70.0, 6.0
Karnataka,-166.0, -229.0
Kerala,-136.0, -328.0
Madhya Pradesh,-108.0,-5.0
Maharashtra,-184.0, -122.0
Manipur,275.0, 44.0
Meghalaya,211.0, 54.0
Mizoram,244.0, -2.0
Nagaland,288.0, 73.0
Odisha,61.0, -54.0
Punjab,-165.0, 199.0
Rajasthan,-189.0, 69.0
Sikkim,143.0, 111.0
Tamil Nadu,-94.0, -301.0
Telangana,-87.0, -137.0
Tripura,217.0, 13.0
Uttar Pradesh,-50.0, 107.0
Uttarakhand,-71.0, 184.0
West Bengal,126.0, -5.0